Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
-----------------------------------------------------------------------------------------------
H_Gomes       35 bra 11  1  1  1 20  41 815 530 525  13  59   0   0   0   0   0   2   6   0 100
C_Pantilimon  30 rom 10  1  1  1 28 284 703 688 682   8  29   0   0   0   0   0   4   0   0 100
G_Arlauskis   29 lit  9  1  1  1 20 265 285 265 265   0   0   0   0   0   0   0   0   0   0 100
R_Gilmartin   29 ire  9  1  1  1 22 363 730 710 710   2   0   0   0   0   0   0   0   0   0 100
J_Holebas     32 gre  4 11  2  2 32   8 268 559 506  12   0  22   5   3   0   0  14   0   0  99
Y_Kaboul      31 fra  1 11  3  2 30  63 202 968 664  11   0  17   7   4   0   0   2   0   0 100
M_Britos      31 uru  1 10  4  2 32 342 452  10 680   9   0  11   4   5   0   1   4   0   0 100
D_Janmaat     27 hol  1 11  3  2 34 357  96 349 685  10   0  16   5   2   0   0   2   0   0  99
S_Prodl       29 aut  1 10  2  2 32 341 817 949 519   9   0  17   5   1   0   0   0   0   0 100
Matt_Clarke   20 eng  1  9  3  2 32 356 562 775 771  10   0  10   4   4   0   0   2   0   0 100
A_Mariappa    30 eng  1  9  3  3 32 480 582 587 480   6   0   5   2   2   0   0   0   0   0 100
C_Cathcart    28 nir  1  9  3  2 32 410 433 668 644   8   0  11   4   4   1   0   0   0   0 100
C_Kabasele    25 zai  1  9  3  2 34 110 655 567 269   8   0   5   1   1   0   0   0   0   0 100
I_De_Santis   19 ita  1  7  2  3 30 216 372 460 336   2   0   1   2   0   0   0   0   0   0 100
E_Capoue      28 fra  1  4 11  2 32 380 179 170 233  10   0   2  19   3   1   3   4   0   0 100
V_Behrami     31 swi  1  3 10  4 32  60  42 575 252  10   0   0  24  10   1   1   0   0   0 100
P_H_Ganso     27 bra  1  3 11  5 26 135 507 133 837   7   0   2  24   5   0   2   0   0   0  99
J_McCarthy    26 sco  1  3 11  3 26 330 479  79 497  10   0   1  30   7   0   2   0   0   0  99
R_Pereyra     26 arg  1  2  9  4 26 110 281 875 623   8   0   1   5   7   1   0  14   0   0  99
N_Amrabat     29 hol  1  2  9  3 26 425 560 360 141   9   0   1  13   5   2   1   0   0   0 100
A_Doucoure    24 fra  1  2  9  3 32 440 702 585 708  10   0   1  11   5   0   2   0   0   0 100
Ben_Watson    31 eng  1  2 10  3 28 362 685  24 911   9   0   0  14   3   0   2   0   0   0 100
M_Locatelli   19 ita  1  4  7  3 29 383 700 980 596   7   0   2   5   5   0   1   0   0   0 100
T_Deeney      28 eng  1  2  3 11 28 489 462 469 778  14   0   0   2  52   8   0   2   0   0 100
O_Giroud      30 fra  1  2  4 10 26 152 604 651 218   8   0   0   8  17   3   0   0   0   0  99
M´Baye_Niang  22 fra  1  2  3 10 30 351 661 686 129   6   0   0   2   6   1   0   0   0   0 100
E_Ponce       20 arg  1  2  4 10 26 310 362 322 368   6   0   2   1  12   1   0   0   0   0 100
S_Okazaki     30 jap  1  2  3 10 28 110 636 600 814   7   0   1   0  24   6   0   0   0   0 100
G_Deulofeu    22 esp  1  2  4 10 30 317 273 410 341   4   0   1   1  13   2   0   0   0   0  99
Nolito        30 spa  1  2  4 10 31 319 260 642 336  11   0   0   6  53   8   1   2   0   0  99
M_Zarate      29 arg  1  2  4  9 26 552 841 753 911   4   0   0   0   2   0   0   0   0   0 100
S_Okaka       27 ita  1  2  3  9 31 330 220 315 446   3   0   1   3   8   0   1   0   0   0 100
I_Success     21 nig  1  2  2  9 34 704 818 829 208   3   0   0   1   6   0   0   4   0   0 100
Keisuke_Honda 30 jap  1  3  5  9 28 320 340 183 333   3   0   0   0   2   0   0   0   0   0 100
